Number,Date,Count
1,1/1/2020,1
2,1/2/2020,0
3,1/3/2020,1
4,1/4/2020,1
5,1/5/2020,0
6,1/6/2020,1
7,1/7/2020,1
8,1/8/2020,1
9,1/9/2020,1
10,1/10/2020,2
11,1/11/2020,0
12,1/12/2020,1
13,1/13/2020,1
14,1/14/2020,1
15,1/15/2020,0
16,1/16/2020,0
17,1/17/2020,1
18,1/18/2020,1
19,1/19/2020,2
20,1/20/2020,1
21,1/21/2020,1
22,1/22/2020,1
23,1/23/2020,0
24,1/24/2020,1
25,1/25/2020,5
26,1/26/2020,1
27,1/27/2020,0
28,1/28/2020,1
29,1/29/2020,1
30,1/30/2020,0
31,1/31/2020,0
32,2/1/2020,1
33,2/2/2020,1
34,2/3/2020,1
35,2/4/2020,2
36,2/5/2020,1
37,2/6/2020,1
38,2/7/2020,1
39,2/8/2020,0
40,2/9/2020,2
41,2/10/2020,1
42,2/11/2020,2
43,2/12/2020,1
44,2/13/2020,1
45,2/14/2020,1
46,2/15/2020,1
47,2/16/2020,1
48,2/17/2020,0
49,2/18/2020,0
50,2/19/2020,2
51,2/20/2020,2
52,2/21/2020,1
53,2/22/2020,1
54,2/23/2020,0
55,2/24/2020,0
56,2/25/2020,0
57,2/26/2020,2
58,2/27/2020,0
59,2/28/2020,1
60,2/29/2020,1
61,3/1/2020,0
62,3/2/2020,1
63,3/3/2020,1
64,3/4/2020,0
65,3/5/2020,?
66,3/6/2020,0
67,3/7/2020,0
68,3/8/2020,1
69,3/9/2020,1
70,3/10/2020,1
71,3/11/2020,1
72,3/12/2020,2
73,3/13/2020,1
74,3/14/2020,1
75,3/15/2020,1
76,3/16/2020,1
77,3/17/2020,0
78,3/18/2020,0
79,3/19/2020,1
80,3/20/2020,0
81,3/21/2020,0
82,3/22/2020,0
83,3/23/2020,0
84,3/24/2020,2
85,3/25/2020,1
86,3/26/2020,0
87,3/27/2020,0
88,3/28/2020,0
89,3/29/2020,1
90,3/30/2020,1
91,3/31/2020,0
92,4/1/2020,0
93,4/2/2020,1
94,4/3/2020,1
95,4/4/2020,0
96,4/5/2020,1
97,4/6/2020,1
98,4/7/2020,1
99,4/8/2020,0
100,4/9/2020,0
101,4/10/2020,1
102,4/11/2020,1
103,4/12/2020,0
104,4/13/2020,1
105,4/14/2020,1
106,4/15/2020,1
107,4/16/2020,0
108,4/17/2020,0
109,4/18/2020,1
110,4/19/2020,1
111,4/20/2020,2
112,4/21/2020,0
113,4/22/2020,0
114,4/23/2020,1
115,4/24/2020,0
116,4/25/2020,1
117,4/26/2020,0
118,4/27/2020,1
119,4/28/2020,1
120,4/29/2020,0
121,4/30/2020,0
122,4/31/20,0
123,5/1/2020,0
124,5/2/2020,1
125,5/3/2020,1
126,5/4/2020,0
127,5/5/2020,0
128,5/6/2020,1
129,5/7/2020,0
130,5/8/2020,1
131,5/9/2020,0
132,5/10/2020,1
133,5/11/2020,1
134,5/12/2020,1
135,5/13/2020,0
136,5/14/2020,2
137,5/15/2020,0
138,5/16/2020,0
139,5/17/2020,1
140,5/18/2020,1
141,5/19/2020,0
142,5/20/2020,1
143,5/21/2020,1
144,5/22/2020,0
145,5/23/2020,1
146,5/24/2020,0
147,5/25/2020,0
148,5/26/2020,1
149,5/27/2020,0
150,5/28/2020,1
151,5/29/2020,0
152,5/30/2020,0
153,5/31/2020,1
154,6/1/2020,1
155,6/2/2020,0
156,6/3/2020,1
157,6/4/2020,0
158,6/5/2020,1
159,6/6/2020,0
160,6/7/2020,1
161,6/8/2020,0
162,6/9/2020,0
163,6/10/2020,0
164,6/11/2020,1
165,6/12/2020,0
166,6/13/2020,1
167,6/14/2020,0
168,6/15/2020,0
169,6/16/2020,1
170,6/17/2020,0
171,6/18/2020,2
172,6/19/2020,0
173,6/20/2020,1
174,6/21/2020,0
175,6/22/2020,1
176,6/23/2020,0
177,6/24/2020,1
178,6/25/2020,0
179,6/26/2020,1
180,6/27/2020,0
181,6/28/2020,0
182,6/29/2020,0
183,6/30/2020,2
184,7/1/2020,0
185,7/2/2020,1
186,7/3/2020,1
187,7/4/2020,0
188,7/5/2020,1
189,7/6/2020,1
190,7/7/2020,1
191,7/8/2020,0
192,7/9/2020,0
193,7/10/2020,0
194,7/11/2020,1
195,7/12/2020,0
196,7/13/2020,1
197,7/14/2020,0
198,7/15/2020,1
199,7/16/2020,1
200,7/17/2020,0
201,7/18/2020,1
202,7/19/2020,0
203,7/20/2020,0
204,7/21/2020,1
205,7/22/2020,0
206,7/23/2020,0
207,7/24/2020,1
208,7/25/2020,1
209,7/26/2020,1
210,7/27/2020,0
211,7/28/2020,1
212,7/29/2020,0
213,7/30/2020,1
214,7/31/2020,0
215,8/1/2020,2
216,8/2/2020,1
217,8/3/2020,1
218,8/4/2020,0
219,8/5/2020,1
220,8/6/2020,0
221,8/7/2020,2
222,8/8/2020,1
223,8/9/2020,0
224,8/10/2020,1
225,8/11/2020,0
226,8/12/2020,1
227,8/13/2020,1
228,8/14/2020,1
229,8/15/2020,2
230,8/16/2020,2
231,8/17/2020,1
232,8/18/2020,0
233,8/19/2020,1
234,8/20/2020,2
235,8/21/2020,1
236,8/22/2020,1
237,8/23/2020,1
238,8/24/2020,1
239,8/25/2020,1
240,8/26/2020,1
241,8/27/2020,0
242,8/28/2020,0
243,8/29/2020,1
244,8/30/2020,1
245,8/31/2020,2
246,9/1/2020,0
247,9/2/2020,1
248,9/3/2020,1
249,9/4/2020,1
250,9/5/2020,1
251,9/6/2020,1
252,9/7/2020,1
253,9/8/2020,1
254,9/9/2020,1
255,9/10/2020,1
256,9/11/2020,1
257,9/12/2020,1
258,9/13/2020,0
259,9/14/2020,1
260,9/15/2020,1
261,9/16/2020,1
262,9/17/2020,1
263,9/18/2020,0
264,9/19/2020,1
265,9/20/2020,1
266,9/21/2020,1
267,9/22/2020,2
268,9/23/2020,1
269,9/24/2020,0
270,9/24/2020,1
271,9/25/2020,1
272,9/26/2020,0
273,9/27/2020,1
274,9/28/2020,1
275,9/29/2020,1
276,9/30/2020,0
277,10/1/2020,1
278,10/2/2020,1
279,10/3/2020,2
280,10/4/2020,0
281,10/5/2020,1
282,10/6/2020,1
283,10/7/2020,1
284,10/8/2020,1
285,10/9/2020,1
286,10/10/2020,1
287,10/11/2020,1
